date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:43	55367/55367	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2001:18:06%20GMT	https://tanshcreative.com/mellow-st-demo/home-2.html	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/home-2.html	(from )
10:24:44	118/118	---MC-	200	added ('OK')	text/plain	date:Sun,%2012%20Jul%202026%2009:24:44%20GMT	https://tanshcreative.com/robots.txt		(from )
10:24:45	997/997	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Apr%202026%2004:38:56%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/icons/favicon.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/icons/favicon.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:45	6411/6411	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Apr%202026%2004:39:40%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/icons/apple-touch-icon.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/icons/apple-touch-icon.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:46	232111/232111	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Mar%202026%2021:09:04%20GMT	https://tanshcreative.com/mellow-st-demo/assets/css/bootstrap.min.css	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/css/bootstrap.min.css	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:47	8120/8120	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Aug%202024%2005:32:08%20GMT	https://tanshcreative.com/mellow-st-demo/assets/fonts/iconfont.css	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/fonts/iconfont.css	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:47	14424/14424	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Mar%202026%2005:21:08%20GMT	https://tanshcreative.com/mellow-st-demo/assets/css/swiper-bundle.min.css	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/css/swiper-bundle.min.css	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:47	44513/44513	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Jun%202026%2006:57:04%20GMT	https://tanshcreative.com/mellow-st-demo/assets/css/style.css	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/css/style.css	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:47	4884/4884	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202026%2017:55:30%20GMT	https://tanshcreative.com/mellow-st-demo/assets/css/responsive.css	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/css/responsive.css	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:48	4272/4272	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202026%2000:23:50%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/logo.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/logo.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:48	25889/25889	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2001:18:06%20GMT	https://tanshcreative.com/mellow-st-demo/about.html	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/about.html	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:49	20442/20442	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2001:18:06%20GMT	https://tanshcreative.com/mellow-st-demo/contact.html	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/contact.html	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:49	30714/30714	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2001:18:06%20GMT	https://tanshcreative.com/mellow-st-demo/services.html	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/services.html	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:50	18721/18721	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2001:18:06%20GMT	https://tanshcreative.com/mellow-st-demo/single-service.html	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/single-service.html	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:50	110856/110856	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Apr%202026%2003:34:52%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/me-1.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/me-1.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:51	284359/284359	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:53:40%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-5.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-5.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:51	271337/271337	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:53:22%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-6.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-6.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:52	385990/385990	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:53:56%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-3.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-3.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:53	334925/334925	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:53:48%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-4.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-4.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:53	278454/278454	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:54:04%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-2.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-2.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:53	2924/2924	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Apr%202026%2017:57:36%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/comp-2.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/comp-2.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:54	4008/4008	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Apr%202026%2005:15:22%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/comp-1.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/comp-1.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:54	627/627	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Apr%202026%2005:26:36%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/alma-2.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/alma-2.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:54	224923/224923	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2002:54:18%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/portfolio-1.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/portfolio-1.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:54	691/691	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2018:38:56%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/figma.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/figma.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:55	714/714	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:40:38%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/illustrator.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/illustrator.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:55	397/397	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:40:44%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/framer.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/framer.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:55	974/974	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:40:52%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/html.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/html.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:56	1237/1237	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:41:46%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/sketch.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/sketch.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:56	834/834	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:42:32%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/notion.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/notion.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:56	854/854	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:42:42%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/webflow.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/webflow.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:57	1073/1073	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:42:52%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/slack.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/slack.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:57	1148/1148	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:43:10%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/wordpress.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/wordpress.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:57	1154/1154	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:43:20%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/angular.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/angular.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:58	1295/1295	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:43:28%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/visual-studio.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/visual-studio.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:58	742/742	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:43:34%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/nextjs.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/nextjs.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:58	740/740	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:44:30%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/premier.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/premier.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:59	734/734	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:44:36%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/capcut.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/capcut.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:59	944/944	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:44:48%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/audition.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/audition.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:24:59	1602/1602	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Apr%202026%2019:44:56%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/davinci.png	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/davinci.png	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:00	2371/2371	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:27:06%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/testm-user1.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/testm-user1.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:00	2590/2590	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:26:58%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/testm-user2.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/testm-user2.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:00	2143/2143	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:27:22%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/testm-user3.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/testm-user3.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:01	119506/119506	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:26:26%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/post-img1.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/post-img1.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:02	93345/93345	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:44:36%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/post-img3.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/post-img3.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
10:25:03	120169/120169	---M--	200	added ('OK')	image/jpeg	date:Sat,%2004%20Apr%202026%2014:44:28%20GMT	https://tanshcreative.com/mellow-st-demo/assets/images/post-img2.jpg	C:/Users/Admin/OneDrive/Desktop/Masters%20Class%20Shedul/personal/tanshcreative.com/mellow-st-demo/assets/images/post-img2.jpg	(from https://tanshcreative.com/mellow-st-demo/home-2.html)
